,3gppSub,3gppUrb,dist,logDist,okumMetro,okumRural,okumSmall,okumSub,poly3,poly6
158,-109.346608712785,-112.346608712785,159,-125.876212366244,-36.6840616455252,-8.23797331900848,-36.6297200342247,-26.7814006305523,-97.980641389,-97.8948818175825
159,-109.427826821537,-112.427826821537,160,-125.932847819622,-36.7652797542776,-8.31919142776091,-36.7109381429772,-26.8626187393047,-97.963536,-97.7375226880001
160,-109.508538895175,-112.508538895175,161,-125.989130401841,-36.8459918279155,-8.39990350139881,-36.7916502166151,-26.9433308129426,-97.945829971,-97.580441496138
161,-109.588751200448,-112.588751200448,162,-126.045064482865,-36.9262041331881,-8.48011580667139,-36.8718625218876,-27.0235431182152,-97.927556248,-97.4239539437519
162,-109.668469888409,-112.668469888409,163,-126.100654351981,-37.0059228211492,-8.55983449463248,-36.9515812098487,-27.1032618061763,-97.908747777,-97.2683732840779
163,-109.747700997247,-112.747700997247,164,-126.155904219771,-37.0851539299879,-8.63906560347116,-37.0308123186874,-27.1824929150149,-97.889437504,-97.1140098855626
164,-109.826450455032,-112.826450455032,165,-126.210818220028,-37.1639033877729,-8.71781506125618,-37.1095617764724,-27.2612423728,-97.869658375,-96.9611707929372
165,-109.904724082374,-112.904724082374,166,-126.265400411612,-37.2421770151143,-8.79608868859754,-37.1878354038138,-27.3395160001413,-97.849443336,-96.8101592856339
166,-109.982527595004,-112.982527595004,167,-126.319654780248,-37.3199805277448,-8.87389220122809,-37.2656389164443,-27.4173195127719,-97.828825333,-96.6612744335469
167,-110.059866606284,-113.059866606284,168,-126.373585240276,-37.3973195390249,-8.95123121250813,-37.3429779277244,-27.4946585240519,-97.807837312,-96.5148106501325
168,-110.136746629632,-113.136746629632,169,-126.427195636343,-37.4741995623724,-9.02811123585565,-37.4198579510719,-27.5715385473994,-97.786512219,-96.3710572428602
169,-110.213173080881,-113.213173080881,170,-126.480489745046,-37.5506260136216,-9.10453768710487,-37.4962844023211,-27.6479649986487,-97.764883,-96.2302979609998
170,-110.289151280572,-113.289151280572,171,-126.533471276535,-37.6266042133124,-9.18051588679563,-37.5722626020119,-27.7239431983394,-97.742982601,-96.0928105407525
171,-110.364686456172,-113.364686456172,172,-126.586143876055,-37.7021393889128,-9.25605106239606,-37.6477977776123,-27.7994783739398,-97.720843968,-95.9588662477315
172,-110.439783744237,-113.439783744237,173,-126.638511125457,-37.7772366769775,-9.33114835046077,-37.722895065677,-27.8745756620046,-97.698500047,-95.8287294167748
173,-110.514448192503,-113.514448192503,174,-126.690576544656,-37.8519011252436,-9.40581279872682,-37.7975595139431,-27.9492401102706,-97.675983784,-95.7026569891132
174,-110.588684761926,-113.588684761926,175,-126.742343593053,-37.9261376946666,-9.48004936814982,-37.8717960833661,-28.0234766796936,-97.653328125,-95.5808980468745
